Age	Length
13	716
8	554
13	750
9	712
15.5	816
12	901
20	917
22.5	990
17.5	1025
7	570
3.5	676
2.5	440
6.5	798
13	482
9	391
19	830
20	880
20	1060
26	1010
13.5	970
8	490
10.5	795
21.5	1015
1.5	492
16	667
2.5	460
9	515
2.5	433
14	695
7	855
7.5	685
18.5	930
21	975
6.5	487
5	425
4.5	456
11	645
13.5	860
6	420
19.5	950
4	775
5.5	445
11	725
17	761
11.5	721
10.5	567
6.5	616
3.5	505
5	602
6	565
4	515
6	527
12	700
8	996
21.5	909
16.5	949
21	995
2	448
4.5	497
6	442
2	528
7.5	532
7	627
3	477
9.5	637
19	872
5	504
5	530
2	454
11	632
16	720
19	837
9.5	638
2.5	561
15	774
19.5	796
12.5	581
7.5	810
8	615
23.5	942
10	935
8.5	956
13	905
22	900
19.5	920
17	872
10.5	770
16.5	951
13	622
10	523
28.5	950
18	1040
12.5	826
12	851
12	591
4	476
8.5	659
6	603
2.5	542
10	673
6	595
10.5	918
6.5	820
6.5	767
13	926
16	925
12	790
11	622
16.5	715
13	751
14	876
5.5	578
5.5	676
7	621
14	851
12	754
14	684
12	768
16	762
15	700
12.5	858
14.5	764
21.5	910
3.5	650
14.5	1035
9.5	632
6.5	671
11	904
14	908
12.5	776
16	971
12	1000
25.5	1014
4.5	545
10.5	632
20	1005
1	324
8	621
2	484
12	898
13	818
15.5	912
4	457
4	482
22	998
11	668
16.5	995
	
	
	
	
	
	
