Age	Lenght
17.5	1025
19.5	796
19	837
16.5	715
22.5	990
26	1010
13.5	970
21.5	1015
16	762
16	720
15.5	816
13.5	860
19.5	950
15	700
14.5	1035
14.5	764
14	695
11	904
17	872
14	876
16.5	951
13	716
13	751
13	926
18.5	930
21	975
28.5	950
18	1040
12.5	826
12.5	858
12.5	581
12	901
20	917
20	1060
12	851
12	754
12	768
12	790
11	645
11	622
20	1005
11	668
11	632
16.5	995
12	591
8.5	659
6	603
10.5	770
10	673
10.5	632
9.5	632
9.5	638
9	515
7.5	685
7	570
7	855
6.5	798
6.5	671
6.5	820
6.5	767
6.5	616
6	595
5.5	676
5.5	445
5	530
4.5	497
4	515
4	457
8	996
16.5	949
21	995
3.5	650
3	477
2.5	460
2.5	542
2.5	561
19	872
1.5	492
14	908
16	971
12	1000
25.5	1014
15.5	912
1	324
22	998
23.5	942
13	905
22	900
19.5	920
